time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),snowfall (cm),cloud_cover (%)
2019-09-22T15:00,23.791666666666668,33.916666666666664,0.0,0.0,0.0
2019-09-22T16:00,23.366666666666664,35.666666666666664,0.0,0.0,0.0
2019-09-22T17:00,21.816666666666666,42.833333333333336,0.0,0.0,0.0
2019-09-22T18:00,18.875,51.916666666666664,0.0,0.0,0.0
2019-09-22T19:00,17.458333333333332,57.5,0.0,0.0,0.0
2019-09-22T20:00,16.375,62.416666666666664,0.0,0.0,0.0
2019-09-22T21:00,15.283333333333333,67.08333333333333,0.0,0.0,0.0
2019-09-22T22:00,14.375,70.33333333333333,0.0,0.0,0.08333333333333333
2019-09-22T23:00,13.166666666666666,75.08333333333333,0.0,0.0,0.0
2019-09-23T00:00,12.266666666666666,79.16666666666667,0.0,0.0,0.08333333333333333
2019-09-23T01:00,12.291666666666666,77.75,0.0,0.0,0.0
2019-09-23T02:00,11.391666666666666,80.75,0.0,0.0,5.166666666666667
2019-09-23T03:00,10.9,81.58333333333333,0.0,0.0,6.75
2019-09-23T04:00,10.333333333333334,83.58333333333333,0.0,0.0,19.5
2019-09-23T05:00,9.958333333333334,84.08333333333333,0.0,0.0,28.75
2019-09-23T06:00,9.758333333333333,84.58333333333333,0.0,0.0,34.583333333333336
2019-09-23T07:00,11.075000000000001,78.5,0.0,0.0,33.916666666666664
2019-09-23T08:00,13.35,68.33333333333333,0.0,0.0,29.916666666666668
2019-09-23T09:00,15.766666666666666,57.833333333333336,0.0,0.0,56.416666666666664
2019-09-23T10:00,18.108333333333334,49.166666666666664,0.0,0.0,56.0
2019-09-23T11:00,20.183333333333334,41.75,0.0,0.0,81.33333333333333
2019-09-23T12:00,21.291666666666668,38.083333333333336,0.0,0.0,88.33333333333333
2019-09-23T13:00,22.183333333333334,35.5,0.0,0.0,90.16666666666667
2019-09-23T14:00,22.53333333333333,34.75,0.0,0.0,91.66666666666667
2019-09-23T15:00,22.5,34.75,0.0,0.0,94.16666666666667
2019-09-23T16:00,22.099999999999998,36.666666666666664,0.0,0.0,95.75
2019-09-23T17:00,20.608333333333334,47.666666666666664,0.0,0.0,96.66666666666667
2019-09-23T18:00,17.691666666666666,54.666666666666664,0.0,0.0,96.75
2019-09-23T19:00,16.708333333333332,59.0,0.0,0.0,98.5
2019-09-23T20:00,16.51666666666667,60.75,0.0,0.0,98.83333333333333
2019-09-23T21:00,16.775000000000002,62.666666666666664,0.0,0.0,99.41666666666667
2019-09-23T22:00,17.066666666666666,67.41666666666667,0.0,0.0,99.91666666666667
2019-09-23T23:00,16.8,71.25,0.0,0.0,99.5
2019-09-24T00:00,15.833333333333334,76.5,0.0,0.0,99.33333333333333
2019-09-24T01:00,15.241666666666667,84.08333333333333,0.0,0.0,99.33333333333333
2019-09-24T02:00,14.4,88.0,0.0,0.0,99.0
2019-09-24T03:00,13.516666666666666,92.33333333333333,0.0,0.0,99.0
2019-09-24T04:00,13.166666666666666,94.0,0.0,0.0,99.16666666666667
2019-09-24T05:00,12.791666666666666,95.0,0.0,0.0,99.08333333333333
2019-09-24T06:00,12.566666666666668,96.25,0.0,0.0,90.75
2019-09-24T07:00,13.366666666666667,92.75,0.0,0.0,94.16666666666667
2019-09-24T08:00,14.416666666666666,87.25,0.0,0.0,71.75
2019-09-24T09:00,16.175,78.33333333333333,0.0,0.0,70.16666666666667
2019-09-24T10:00,17.558333333333334,71.58333333333333,0.0,0.0,87.25
2019-09-24T11:00,18.041666666666668,69.0,0.0,0.0,96.66666666666667
2019-09-24T12:00,18.408333333333335,68.0,0.0,0.0,99.33333333333333
2019-09-24T13:00,17.366666666666667,76.58333333333333,0.0,0.0,98.41666666666667
2019-09-24T14:00,17.525000000000002,75.91666666666667,0.05000000000000001,0.0,94.16666666666667
2019-09-24T15:00,17.658333333333335,75.41666666666667,0.03333333333333333,0.0,59.0
2019-09-24T16:00,18.133333333333333,73.66666666666667,0.0,0.0,30.666666666666668
2019-09-24T17:00,18.066666666666666,73.5,0.0,0.0,95.75
2019-09-24T18:00,16.25,82.83333333333333,0.0,0.0,99.91666666666667
2019-09-24T19:00,15.758333333333333,85.83333333333333,0.0,0.0,79.83333333333333
2019-09-24T20:00,15.008333333333333,89.41666666666667,0.0,0.0,98.83333333333333
2019-09-24T21:00,14.975,88.33333333333333,0.0,0.0,95.41666666666667
2019-09-24T22:00,14.533333333333333,89.83333333333333,0.0,0.0,99.16666666666667
2019-09-24T23:00,14.35,90.08333333333333,0.0,0.0,99.25
2019-09-25T00:00,14.316666666666668,90.08333333333333,0.0,0.0,99.58333333333333
2019-09-25T01:00,14.299999999999999,93.08333333333333,0.0,0.0,98.83333333333333
2019-09-25T02:00,13.816666666666668,94.16666666666667,0.0,0.0,99.66666666666667
2019-09-25T03:00,13.733333333333334,94.33333333333333,0.0,0.0,99.25
2019-09-25T04:00,13.208333333333334,95.5,0.0,0.0,98.08333333333333
2019-09-25T05:00,12.908333333333333,96.0,0.0,0.0,93.16666666666667
2019-09-25T06:00,12.641666666666666,96.25,0.008333333333333333,0.0,99.0
2019-09-25T07:00,13.541666666666666,92.91666666666667,0.14166666666666666,0.0,100.0
2019-09-25T08:00,14.391666666666666,89.75,0.26666666666666666,0.0,100.0
2019-09-25T09:00,14.933333333333332,88.75,0.42500000000000004,0.0,100.0
2019-09-25T10:00,15.658333333333333,87.0,0.6749999999999999,0.0,100.0
2019-09-25T11:00,15.475,90.25,0.7083333333333334,0.0,100.0
2019-09-25T12:00,15.775,89.33333333333333,0.47500000000000003,0.0,100.0
2019-09-25T13:00,17.45,76.58333333333333,0.39166666666666666,0.0,100.0
2019-09-25T14:00,17.316666666666666,75.33333333333333,0.15,0.0,99.91666666666667
2019-09-25T15:00,16.925,77.91666666666667,0.2333333333333333,0.0,99.83333333333333
2019-09-25T16:00,16.358333333333334,82.66666666666667,0.425,0.0,98.25
2019-09-25T17:00,15.775,88.91666666666667,0.375,0.0,89.25
2019-09-25T18:00,14.966666666666667,92.91666666666667,0.21666666666666667,0.0,76.83333333333333
2019-09-25T19:00,14.366666666666667,95.08333333333333,0.025000000000000005,0.0,80.58333333333333
2019-09-25T20:00,13.916666666666666,95.91666666666667,0.0,0.0,86.41666666666667
2019-09-25T21:00,13.391666666666666,96.08333333333333,0.0,0.0,91.83333333333333
2019-09-25T22:00,12.75,96.5,0.0,0.0,90.25
2019-09-25T23:00,12.366666666666667,96.58333333333333,0.0,0.0,91.33333333333333
2019-09-26T00:00,11.891666666666666,97.0,0.0,0.0,94.08333333333333
2019-09-26T01:00,11.466666666666667,98.66666666666667,0.0,0.0,86.16666666666667
2019-09-26T02:00,11.483333333333334,98.25,0.0,0.0,39.166666666666664
2019-09-26T03:00,11.041666666666666,98.16666666666667,0.0,0.0,4.083333333333333
2019-09-26T04:00,10.549999999999999,98.66666666666667,0.0,0.0,8.416666666666666
2019-09-26T05:00,10.316666666666666,98.75,0.0,0.0,35.416666666666664
2019-09-26T06:00,10.216666666666667,98.75,0.0,0.0,31.416666666666668
2019-09-26T07:00,11.275,96.5,0.0,0.0,16.666666666666668
